Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,"32,855",1 698,131,146,161,131,125,144,123,137,109,235,134,122
Baja California,"35,279",5 434,459,394,348,332,459,397,384,627,532,681,443,378
Baja California Sur,"31,947",847,57,77,61,64,78,82,53,82,68,108,68,49
Campeche,"19,453",777,69,68,54,53,62,45,70,85,62,61,83,65
Coahuila,"48,394",6 276,550,489,497,479,601,473,472,685,597,598,431,404
Colima,"27,631",827,79,69,75,54,89,82,49,67,54,72,62,75
Chiapas,"16,884",3 796,379,334,315,295,350,265,263,367,285,368,324,251
Chihuahua,"27,760",4 906,543,437,355,430,439,375,381,410,424,382,339,391
Distrito Federal,"37,539",16 096,1 561,1 432,1 413,1 208,1 512,1 294,1 298,1 533,1 149,1 566,1 161,969
Durango,"44,617",3 458,430,310,360,328,328,286,267,289,222,269,175,194
Guanajuato,"29,424",7 304,813,609,584,560,748,522,582,640,589,698,528,431
Guerrero,"30,999",5 028,533,386,451,442,476,431,362,511,432,462,291,251
Hidalgo,"19,547",2 314,212,221,198,178,201,179,184,264,179,206,166,126
Jalisco,"41,255",14 068,1 321,1 152,1 210,890,1 276,951,1 072,1 563,1 161,1 520,1 132,820
M‚xico,"23,841",17 734,1 752,1 522,1 471,1 281,1 761,1 449,1 377,1 581,1 344,1 751,1 245,1 200
Michoac n,"20,450",4 236,374,308,358,344,359,368,318,425,347,431,353,251
Morelos,"51,593",4 439,388,342,369,310,444,348,332,482,347,432,354,291
Nayarit,"30,417",1 542,141,136,131,129,143,128,132,165,115,150,88,84
Nuevo Le¢n,"27,202",5 896,531,489,540,428,614,455,424,545,506,579,434,351
Oaxaca,"23,327",4 285,411,385,335,369,423,366,328,407,336,352,301,272
Puebla,"24,783",6 835,712,540,610,562,620,539,534,619,510,616,530,443
Quer‚taro,"20,738",1 677,151,137,137,125,137,154,124,167,144,166,111,124
Quintana Roo,"13,204",771,68,39,75,65,63,76,54,84,75,78,51,43
San Luis Potos¡,"33,683",4 017,422,317,331,305,373,323,330,401,337,380,269,229
Sinaloa,"39,236",5 551,553,418,343,361,440,479,476,634,456,585,440,366
Sonora,"22,198",2 845,315,229,207,211,266,194,202,264,259,264,239,195
Tabasco,"25,135",2 640,248,205,205,180,235,196,208,299,230,280,225,129
Tamaulipas,"32,769",5 308,478,351,358,386,435,429,444,584,476,621,414,332
Tlaxcala,"23,139",1 251,145,124,102,96,98,90,79,116,106,109,96,90
Veracruz,"17,386",6 288,550,489,464,466,506,475,461,706,507,678,568,418
Yucat n,"35,304",3 226,344,285,231,235,392,225,243,296,221,298,252,204
Zacatecas,"21,202",1 466,132,117,141,100,123,139,105,139,139,128,118,85
TOTAL GLOBAL,"28,595",152 836,14 852,12 557,12 490,11 397,14 176,11 959,11 731,15 174,12 318,15 124,11 425,9 633
